Season,Tm,champion,PTS,fantasy_p,card_price
2003-04,CLE,False,20.9,39.8,427.93
2004-05,CLE,False,27.2,52.3,393.59
2005-06,CLE,False,31.4,53.6,338.29
2006-07,CLE,False,27.3,48.0,295.67
2007-08,CLE,False,30.0,55.6,291.94
2008-09,CLE,False,28.4,53.7,362.09
2009-10,CLE,False,29.7,55.8,401.88
2010-11,MIA,False,26.7,49.2,409.54
2011-12,MIA,True,27.1,50.6,493.5
2012-13,MIA,True,26.8,52.2,656.83
2013-14,MIA,False,27.1,47.0,771.6
2014-15,CLE,False,25.3,46.6,1924.83
2015-16,CLE,True,25.3,47.1,1927.35
2016-17,CLE,False,26.4,51.1,4129.02
2017-18,CLE,False,27.5,54.2,5576.02
2018-19,LAL,False,27.4,52.1,6962.02
2019-20,LAL,True,25.3,51.2,19634.76
2020-21,LAL,False,25.4,47.8,45810.22
